PRODUTO;ANO;REGIÃO;ESTADO;PRODUTOR;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
BIODIESEL;2006;REGIÃO SUL;PARANÁ;BIGFRANGO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;JBS (EX-BRACOL EX-BERTIN);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;SÃO PAULO;JBS (EX-BRACOL EX-BERTIN);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;RIO GRANDE DO SUL;BIANCHINI;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;BIO BRAZILIAN;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;GOIÁS;BINATURAL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;BIOCAR;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;BIO OLEO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;BIOCAMP;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;PARANÁ;BIOLIX;m3;0;8,7;0;0;11,3;23,75;36,2;20;0;0;0;0;99,95
BIODIESEL;2006;REGIÃO CENTRO-OESTE;GOIÁS;BIONASA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;MINAS GERAIS;B 100 (EX-BIOMINAS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
